,noteUrl,nnn,publishAt,body
0,https://note.com/rochefort10/n/n8fcd7f4bff88,父親のPTA活動奮闘記 Vol #3 ~ ママさんのパソコン操作,2022-04-02T14:49:14+09:00,"PTA活動は、年に二度の会報作成と発行をやる「会報委員」の副委員長で始まった。ママさんメインのPTA活動で、自分の居所とか立ち位置あるんかな、と、ものすごく不安に思ってのスタートだったが、全くもって杞憂だった。それは、一瞬で決まった。

諸々のパソコン作業。

失礼な言い草なんだけど、ママさんたち、いわゆる「パソコン音痴」だらけ。断っておくが、決してけなしたり、バカにしているいる訳では、ない。普段使わないんだから、仕方ない。

おれは一応エンジニアで、業務で一日十時間くらいパ"
1,https://note.com/rochefort10/n/n95030bcf7753,父親のPTA活動奮闘記 Vol #2 ~ 黒一点,2022-03-27T19:43:04+09:00,"紅一点の反対語。あまりポピュラーな言葉ではないようだ。PTA活動は、典型的な「黒一点」の世界。

高校生になって以来三十年以上、男が圧倒的に多い集団で過ごしてきた。男が圧倒的に多い進学校で男子クラス。大学は工学部。そしてメーカーで研究開発部門。もう圧倒的に男性が多い環境で、職場なんかは男60人に秘書さん一人なんてこともあった。

PTAの集団は、それが一気に、逆。初の会合に行ったら、ママさん40人くらいに、男性は自分と、PTA会長（なぜか会長は男性なんですね）の、二人だけ。
"
2,https://note.com/rochefort10/n/n2b969b0624ee,父親のPTA活動奮闘記 ~ はじめに,2022-03-22T21:55:58+09:00,"卒業した。長男が高校を。同時に、父親のオレがPTA活動を。

三年前。訳あって、ヤツの高校のPTA活動を勤めざるを得なくなった。ヤツが中学校を卒業するまで、授業参観や面談、学校の行事には積極的に参加していたけど、PTAだけは、逃げ回ってていた。

そりゃそうだろう。そもそもママさんの世界だし。そのママさんだって疲弊するくらいの面倒臭い世界らしいし。とにかく、いい話を聞いたことがない。だから、ヤツの高校でやらざるを得なくなった時は、ホンマに戦々恐々だった。

先に言ってしまうと"
3,https://note.com/rochefort10/n/ne804db67a4c9,ソフトウェア開発201の鉄則 原理109:コーディング:原理100:構造化されたコードは必ずしもよいコードではない,2020-05-27T08:46:23+09:00,"要旨* 構造化プログラミングは、もともとは、プログラムの正しさをカンタンに確かめることができるように提唱されたものだ
* 今では、そのときに定義された条件分岐やサブルーチンなどを使うこと自体が構造化プログラミングと呼ぶようになった
* プログラムをわかりやすくする、という点で、構造化プログラミングは必要だ
* しかし、それは「高品質なプログラミング」の一部の要素であって、十分条件ではない

解説1969 年に、ソフトウェア工学ではしばしば名前の出てくるDikstra さんが提"
4,https://note.com/rochefort10/n/n5b06a2ed5edd,ソフトウェア開発201の鉄則 原理109:テスティング:自分のソフトウェアを自分でテストするな,2020-05-24T09:13:19+09:00,"要旨* デバッグやリグレッションテスト、確認のための単体テストといったもの以外の、本格的なテストをソフトウェア開発者は自分で行ってはならない
* テストというのは、バグが見つかって欲しくないと願う開発者に対し、バグを見つける、という行為なので、自分で行ったら正しくできるはずもないからだ
* そして、テスト担当者は、発見したバグを皆の前にさらして、開発者の面子を潰すようなことをしてはならない
* テスティングというのは、バグがでないことを期待する開発者に対し、精神的に追い打ちを"
5,https://note.com/rochefort10/n/n5d8b52151204,ソフトウェア開発201の鉄則 原理75:設計:保守が容易なように設計せよ,2020-05-23T10:25:27+09:00," 要旨*ソフトウェアで最もコストがかかる工程は、「保守」である
* なので、保守が容易となるように設計をせよ
* その方法に、一般的なものはない
* 例えば、基本構造の選択時に、アルゴリズムやコードの選択よりも保守性を重視する、といったことが挙げられる

解説ソフトウェア「以外の」製品、要するにハードウェアは、設計後最も費用がかかるのは、「生産」。なので、ハードウェア設計の際に一番考慮しなくてはならないのは、生産性。

ソフトウェアの場合、生産にはほとんど費用がかからない場合"
6,https://note.com/rochefort10/n/n5e1856d6dd89,ソフトウェア開発201の鉄則 原理126:コーディング:エラーを個人のものにするな,2020-05-22T09:36:14+09:00,"要旨* ソフトウェア開発というものは、本来は、人類未踏の「詳細さ」「完璧さ」を求める行動である
* なので、（間違いがつきものの人間である）開発者は、完璧さを求めるのではなく、エラーが発生することを前提に、継続的な改善ができるように努力すべきである
* そのためには、エラーが発生したら、それを隠すことなく、オープンにして皆で共有しよう
* それは開発者全員の知見に繋がり、継続的な改善の工場に繋がる

解説この原理、二つ、大事なことを言っている。

1. 間違いが一つもない、完"
7,https://note.com/rochefort10/n/n0e392f557dab,ソフトウェア開発201の鉄則 原理76:設計:エラー修正が容易なように設計せよ,2020-05-20T10:45:10+09:00,"要旨* どんなに経験を積んでも、ソフトウェア開発では必ずエラー（失敗）を起こすものだ
* なので、ソフトウェア設計には、エラー発生時にその発見と修正が容易となるような方法を組み込むこと
* その実現は難しいが、例えば、変数の正当性のチェックは端折らずすべてやるとか、不可能な条件を想定しその施策を机上で練る、といったことが挙げられる
＊システムの不具合を体系立てて分析し、未然の改善を助けるための「フォレストツリー解析」もその一助となるだろおう

解説人はどんなに習熟しても「エラ"
8,https://note.com/rochefort10/n/n4b1be23a5cf2,ソフトウェア開発201の鉄則 原理147:管理:非現実的な完成予定日を設定するな,2020-05-17T10:09:32+09:00,"要旨* 非現実的な納期(==無茶な計画）の設定は、社員の士気の低下、離職といった悪影響をもたらし、これらの発生によってさらに納期が遅れる、といった負のスパイラルを発生させる
* ソフトウェア開発のプロジェクトの大帝が、このような「きつい日程」の計画のもと進んでいるだろう
* そのような状況下での開発では、日程を間に合わせようとして品質の維持は後回しにされがちである
* いいことは一つもない、プロジェクトを成功させたいなら、無謀な納期の設定はするな

解説ほとんどのソフトウェア"
9,https://note.com/rochefort10/n/nea3f5513a02b,ソフトウェア開発201の鉄則 原理114:テスティング:半分のエラーは15%のモジュールで発見される,2020-05-16T08:45:40+09:00,"要旨* エラーの発生箇所は、システム全般で均一ではなく、大きく偏るものだ
* エラーの8割がモジュールの5割から見つかるとか、もっと極端に8割のエラーが2% のモジュールから見つかった実例もある
* エラーが見つかったところには、さらにエラーが見つかる確率が高い
* なので、モジュール毎のエラー発生箇所を記録せよ、それは、システムの欠陥位置や欠陥内容を特定するのに役立つ

解説パレートの法則「全体の数値の大部分は、全体の構成のうちの一部が生み出している」、ソフトウェアの世界で"
